Country,Continent,Total_Deaths,CPI,long,lat
Afghanistan,Asia,24990,73.46450349,67.709953,33.93911
Albania,Europe,803,50.89869934,20.168331,41.153332
Algeria,Africa,11774,59.05538813,1.659626,28.033886
American Samoa,Oceania,130,56.18894738,-170.132217,-14.270972
Angola,Africa,6190,79.95974084,17.873887,-11.202692
Anguilla,Americas,9,53.72319093,-63.068615,18.220554
Antigua and Barbuda,Americas,13,52.380466,-61.796428,17.060816
Argentina,Americas,12035,62.04463241,-63.616672,-38.416097
Armenia,Asia,2895,47.54302223,45.038189,40.069099
Australia,Oceania,2253,60.54662897,133.775136,-25.274398
Austria,Europe,797,63.44288971,14.550072,47.516231
Azerbaijan,Asia,154,62.72300536,47.576927,40.143105
Azores Islands,Europe,135,41.60621986,-30.384108,38.305542
Bahamas,Americas,450,62.06282082,-77.39628,25.03428
Bahrain,Asia,111,25.51591532,50.637772,25.930414
Bangladesh,Asia,2993707,57.30529892,90.356331,23.684994
Barbados,Americas,62,48.85472852,-59.543198,13.193887
Belarus,Europe,74,77.64740636,27.953389,53.709807
Belgium,Europe,4848,66.14194035,4.469936,50.503887
Belize,Americas,1860,49.88368494,-88.49765,17.189877
Benin,Africa,1561,70.28456616,2.315834,9.30769
Bermuda,Americas,4,71.95500655,-64.75737,32.321384
Bhutan,Asia,304,68.74320742,90.433601,27.514162
Bolivia,Americas,2269,66.20873618,-63.588653,-16.290154
Bosnia and Herzegovina,Europe,47,85.91632987,17.679076,43.915886
Botswana,Africa,698,67.66594945,24.684866,-22.328474
Brazil,Americas,12947,59.02305037,-51.92528,-14.235004
Bulgaria,Europe,313,72.55618366,25.48583,42.733883
Burkina Faso,Africa,17304,68.34648614,-1.561593,12.238333
Burundi,Africa,1218,77.66282886,29.918886,-3.373056
Cabo Verde,Africa,85295,42.11497255,-22.807835,16.095011
Cambodia,Asia,2523,73.99309055,104.990963,12.565679
Cameroon,Africa,6117,70.84886427,12.354722,7.369722
Canada,Americas,51946,48.76515568,-106.346771,56.130366
Canary Is,Europe,81,60.17492115, -16.629129,28.291565
Cayman Islands,Americas,2,73.88141244,-80.566956,19.513469
Central African Republic,Africa,1006,77.38781084,20.939444,6.611111
Chad,Africa,10502,71.74326483,18.732207,15.454166
Chile,Americas,60522,54.60157689,-71.542969,-35.675147
China,Asia,12521432,67.60421767,104.195397,35.86166
Colombia,Americas,34518,57.91577066,-74.297333,4.570868
Comoros,Africa,678,55.1069988,43.872219,-11.875001
Congo [DRC],Africa,17804,75.34583444,21.758664,-4.038333
Congo [Republic],Africa,4710,77.64269036,15.827659,-0.228021
Cook Islands,Oceania,32,52.36091591,-159.777671,-21.236736
Costa Rica,Americas,2995,57.49346397,-83.753428,9.748917
Côte d’Ivoire,Africa,925,78.41891843,-5.54708,7.539989
Croatia,Europe,868,81.27538043,15.2,45.1
Cuba,Americas,5182,54.98845711,-77.781167,21.521757
Cyprus,Asia,106,49.44327047,33.429859,35.126413
Czech Republic,Europe,591,79.78404716,15.472962,49.817492
Czech Republic,Europe,24,30.68070062,15.472962,49.817492
Denmark,Europe,26,64.97166587,9.501785,56.26392
Djibouti,Africa,344,67.91959971,42.590275,11.825138
Dominica,Americas,2140,57.83763049,-61.370976,15.414999
Dominican Republic,Americas,5852,67.01030631,-70.162651,18.735693
Ecuador,Americas,15191,55.96764312,-78.183406,-1.831239
Egypt,Africa,12112,58.76382951,30.802498,26.820553
El Salvador,Americas,8078,64.42689496,-88.89653,13.794185
Equatorial Guinea,Africa,15,73.88141244,10.267895,1.650801
Eritrea,Africa,3,56.50464564,39.782334,15.179384
Estonia,Europe,11,88.13777025,25.013607,58.595272
Ethiopia,Africa,416530,64.75348242,40.489673,9.145
Fiji,Oceania,649,58.03681879,179.414413,-16.578193
France,Europe,28872,63.64849812,2.213749,46.227638
French Guiana,Americas,10,67.35575898,-53.125782,3.933889
French Polynesia,Oceania,31,54.28270257,-149.406843,-17.679742
Gabon,Africa,117,70.45512986,11.609444,-0.803689
Gambia,Africa,420,73.46079483,-15.310139,13.443182
Georgia,Asia,76,70.80699136,43.356892,42.315407
Germany,Europe,9713,75.26256353,10.451526,51.165691
Germany,Europe,501,28.7164058,10.451526,51.165691
Ghana,Africa,1837,74.48618482,-1.023194,7.946527
Greece,Europe,2858,49.51247306,21.824312,39.074208
Grenada,Americas,45,42.9301643,-61.604171,12.262776
Guadeloupe,Americas,2053,44.99487757,-62.067641,16.995971
Guam,Oceania,18,46.64314335,144.793731,13.444304
Guatemala,Americas,79914,68.4346955,-90.230759,15.783471
Guinea,Africa,3956,73.79291622,-9.696645,9.945587
Guinea-Bissau,Africa,3044,68.59985004,-15.180413,11.803749
Guyana,Americas,34,76.38802721,-58.93018,4.860416
Haiti,Americas,250008,69.5663044,-72.285215,18.971187
Honduras,Americas,28794,67.24210893,-86.241905,15.199999
Hong Kong,Asia,24575,33.37822413,114.109497,22.396428
Hungary,Europe,1211,70.99759204,19.503304,47.162494
Iceland,Europe,51,39.94276899,-19.020835,64.963051
India,Asia,9129797,59.56784644,78.96288,20.593684
Indonesia,Asia,242240,63.60732688,113.921327,-0.789275
Iran,Asia,163324,49.38237039,53.688046,32.427908
Iraq,Asia,212,81.37908884,43.679291,33.223191
Ireland,Europe,47,66.93152076,-8.24389,53.41291
Israel,Asia,144,62.94020512,34.851612,31.046051
Italy,Europe,140549,52.99060209,12.56738,41.87194
Jamaica,Americas,2680,40.77586927,-77.297508,18.109581
Japan,Asia,239246,48.41011106,138.252924,36.204824
Jordan,Asia,648,48.72749408,36.238414,30.585164
Kazakhstan,Asia,687,70.11815046,66.923684,48.019573
Kenya,Africa,7112,77.27807905,37.906193,-0.023559
Kiribati,Oceania,20,20.03168788,-168.734039,-3.370417
North Korea,Asia,3017,77.8433118,127.510093,40.339852
South Korea,Asia,9043,53.60945553,127.766922,35.907757
Kuwait,Asia,3,80.50291291,47.481766,29.31166
Kyrgyzstan,Asia,462,71.14784357,74.766098,41.20438
Laos,Asia,1603,65.91890945,102.495496,19.85627
Latvia,Europe,92,74.5126427,24.603189,56.879635
Lebanon,Asia,645,64.40978165,35.862285,33.854721
Lesotho,Africa,123,64.21771369,28.233608,-29.609988
Liberia,Africa,5494,66.97288214,-9.429499,6.428055
Libya,Africa,320,67.6999034,17.228331,26.3351
Lithuania,Europe,104,78.27664189,23.881275,55.169438
Luxembourg,Europe,170,71.95500655,6.129583,49.815273
Macau,Asia,10,95.87816577,113.543873,22.198745
Macedonia [FYROM],Europe,68,83.59769563,21.745275,41.608635
Madagascar,Africa,5114,68.51927523,46.869107,-18.766947
Malawi,Africa,3172,77.18300717,34.301525,-13.254308
Malaysia,Asia,1464,65.92457199,101.975766,4.210484
Maldives,Asia,325,62.46064356,73.22068,3.202778
Mali,Africa,4082,66.10449609,-3.996166,17.570692
Marshall Islands,Oceania,6,67.35575898,171.184478,7.131474
Martinique,Americas,30096,48.66965803,-61.024174,14.641528
Mauritania,Africa,273,70.74450583,-10.940835,21.00789
Mauritius,Africa,81,47.88366071,57.552152,-20.348404
Mexico,Americas,24930,60.52133163,-102.552784,23.634501
Micronesia,Oceania,77,69.74961016,150.550812,7.425554
Moldova,Europe,89,72.46177461,28.369885,47.411631
Mongolia,Asia,1564,64.25306259,103.846656,46.862496
Montenegro,Europe,1,89.80529293,19.37439,42.708678
Montserrat,Americas,43,55.63760029,-62.187366,16.742498
Morocco,Africa,14766,55.07820206,-7.09262,31.791702
Mozambique,Africa,107060,70.88384392,35.529562,-18.665695
Myanmar,Asia,146720,64.59537817,95.956223,21.913965
Namibia,Africa,555,77.9627296,18.49041,-22.95764
Nepal,Asia,24303,65.75854727,84.124008,28.394857
Netherlands,Europe,4819,70.50419729,5.291266,52.132633
Netherlands Antilles,Americas,13,54.04693013,-69.060087,12.226079
New Caledonia,Oceania,20,25.48536874,165.618042,-20.904305
New Zealand,Oceania,7429,51.3012943,174.885971,-40.900557
Nicaragua,Americas,17308,64.17805698,-85.207229,12.865416
Niger,Africa,195721,74.12556226,8.081666,17.607789
Nigeria,Africa,28895,74.25044476,8.675277,9.081999
Niue,Oceania,2,69.51847965,-169.867233,-19.054445
Northern Mariana Islands,Oceania,5,86.05070153,145.38469,17.33083
Norway,Europe,89,63.25727366,8.468946,60.472024
Oman,Asia,296,72.30388453,55.923255,21.512583
Pakistan,Asia,178224,67.16536054,69.345116,30.375321
Israel,Asia,10,91.65013668,34.851612,31.046051
Panama,Americas,494,62.39997427,-80.782127,8.537981
Papua New Guinea,Oceania,10403,64.7203512,143.95555,-6.314993
Paraguay,Americas,370,77.42843098,-58.443832,-23.442503
Peru,Americas,96992,54.8282177,-75.015152,-9.189967
Philippines,Asia,71706,59.25265133,121.774017,12.879721
Poland,Europe,2378,78.57852726,19.145136,51.919438
Portugal,Europe,4087,63.64594198,-8.224454,39.399872
Puerto Rico,Americas,1470,52.94518523,-66.590149,18.220833
Réunion,Africa,239,51.59792508,55.536384,-21.115141
Romania,Europe,4938,70.54492666,24.96676,45.943161
Russia,Europe,61662,71.82010872,105.318756,61.52401
Rwanda,Africa,1104,77.33319789,29.873888,-1.940278
Saint Barthélemy,Americas,4,95.87816577,-62.833333,17.9
Saint Kitts and Nevis,Americas,6,56.12491031,-62.782998,17.357822
Saint Lucia,Americas,44,59.95088287,-60.978893,13.909444
Saint Martin,Americas,7,95.87816577,-63.060001,18.075277
Saint Vincent and the Grenadines,Americas,1716,38.80910877,-61.287228,12.984305
Samoa,Oceania,490,61.46629303,-172.104629,-13.759029
Sao Tome and Principe,Africa,206,55.9168408,6.602781,0.255436
Saudi Arabia,Asia,647,80.94655101,45.079162,23.885942
Senegal,Africa,1555,70.92179011,-14.452362,14.497401
Serbia,Europe,96,89.4781117,21.005859,44.016521
Serbia,Europe,21,68.42163694,21.005859,44.016521
Seychelles,Africa,8,68.33362382,55.491977,-4.679574
Sierra Leone,Africa,6734,70.68156579,-11.779889,8.460555
Singapore,Asia,36,67.15801106,103.819836,1.352083
Saint Martin,Americas,4,95.87816577,-63.060001,18.075277
Slovakia,Europe,203,79.09587575,19.699024,48.669026
Slovenia,Europe,301,82.42720781,14.995463,46.151241
Solomon Islands,Oceania,803,48.22573331,160.156194,-9.64571
Somalia,Africa,49975,70.89372633,46.199616,5.152149
South Africa,Africa,2286,69.87743019,22.937506,-30.559482
Sudan,Africa,502,93.21008147,30.217636,12.862807
Russia,Europe,3857096,35.84241396,105.318756,61.52401
Spain,Europe,17329,66.12638927,-3.74922,40.463667
Sri Lanka,Asia,40035,69.07670876,80.771797,7.873054
Sudan,Africa,163775,72.29875106,30.217636,12.862807
Suriname,Americas,5,81.5337423,-56.027783,3.919305
Swaziland,Africa,709,64.04298769,31.465866,-26.522503
Sweden,Europe,43,61.46726081,18.643501,60.128161
Switzerland,Europe,1391,59.48346273,8.227512,46.818188
Syria,Asia,225,75.18441523,38.996815,34.802075
Taiwan,Asia,16982,51.45641951,120.960515,23.69781
Tajikistan,Asia,2493,73.45354828,71.276093,38.861034
Tanzania,Africa,10463,70.57119302,34.888822,-6.369028
Thailand,Asia,14611,68.45221695,100.992541,15.870032
Timor-Leste,Asia,32,78.26060264,125.727539,-8.874217
Togo,Africa,1199,75.06515982,0.824782,8.619543
Tonga,Oceania,24,44.4848924,-175.198242,-21.178986
Trinidad and Tobago,Americas,47,40.1013304,-61.222503,10.691803
Tunisia,Africa,994,45.8287682,9.537499,33.886917
Turkey,Asia,97007,42.84334243,35.243322,38.963745
Turkmenistan,Asia,11,67.35575898,59.556278,38.969719
Turks and Caicos Islands,Americas,4,84.21522909,-71.797928,21.694025
Tuvalu,Oceania,6,16.35652475,177.64933,-7.109535
Uganda,Africa,205039,75.67903215,32.290275,1.373333
Ukraine,Europe,1504,76.16862251,31.16558,48.379433
United Kingdom,Europe,8304,65.41392387,-3.435973,55.378051
United States,Americas,43305,59.25952553,-95.712891,37.09024
Uruguay,Americas,42,69.36722436,-55.765835,-32.522779
Uzbekistan,Asia,87,65.33397797,64.585262,41.377491
Vanuatu,Oceania,256,56.48033483,166.959158,-15.376706
Venezuela,Americas,31280,59.42970103,-66.58973,6.42375
Vietnam,Asia,27183,70.85121614,108.277199,14.058324
Virgin Island,Americas,9,95.87816577,-64.618103,18.436539
Virgin Island,Americas,17,79.12909332,-64.618103,18.436539
Wallis and Futuna,Oceania,6,49.68888774,-177.156097,-13.768752
Yemen,Asia,2235,81.71694992,48.516388,15.552727
Yemen,Asia,2857,26.08372334,48.516388,15.552727
Yemen,Asia,507,43.11759373,48.516388,15.552727
Serbia,Europe,1413,22.16675034,21.005859,44.016521
Zambia,Africa,1420,73.24767062,27.849332,-13.133897
Zimbabwe,Africa,7604,76.95905467,29.154857,-19.015438